text,department,category,subcategory,priority
in our area streetlights turned off on main road near Model Town for 3 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
no water supply in Vasant Kunj for 3 days,Water Department,Water Supply,No Water Supply,HIGH
i am reporting an issue that streetlight pole broken and light fixture hanging near Model Town,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
hello sir my name is rahul and huge pile of uncollected trash dumped openly near Dwarka Sector 10,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
bhai listen severe foul odor coming from unmaintained public restroom near Civil Lines,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"hi assistant i am fine, pothole on road needs urgent repair before an accident happens",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"please help me, frequent voltage fluctuations and power cuts in Connaught Place area",Electricity Department,Electricity,Power Outage,HIGH
sewage line overflowing near Rohini Sector 7 creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
in our area drainage gutter overflow inundating street water in Connaught Place,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am rahul shamram i am fine so the problem is that streetlights turned off on main road near Lajpat Nagar for 7 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
i am rahul shamram i am fine so the problem is that streetlights turned off on main road near Connaught Place for 2 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
there are large potholes on the road making driving very dangerous,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am reporting an issue that drainage gutter overflow inundating street water in Vasant Kunj,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am reporting an issue that road is completely broken with dangerous potholes everywhere,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"please help me, bus stop shelter shade damaged and rusted near Railway Station Road",Municipal Transport Department,Transport,Bus Stop Damage,LOW
stormwater drain is completely clogged with silt near Rohini Sector 7,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
i am reporting an issue that water is leaking from main underground pipeline onto the street,Water Department,Water Supply,Water Pipeline Leakage,HIGH
fumigation and mosquito fogging required urgently in Sector 17,Public Health Department,Public Health,Vector Disease Control,HIGH
traffic signal lights not working at major intersection near Rohini Sector 7,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen ganda paani aa raha hai tap me Railway Station Road ke andar,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
severe foul odor coming from unmaintained public restroom near Railway Station Road,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
power supply has been out in Civil Lines for more than 5 hours,Electricity Department,Electricity,Power Outage,HIGH
"please help me, public toilet near Lajpat Nagar is extremely filthy and not cleaned",Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"in our area sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"good morning sir, drainage gutter overflow inundating street water in Dwarka Sector 10",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am reporting an issue that stagnant water pool near Model Town becoming mosquito breeding ground,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
footpath is broken and paved tiles are missing near Railway Station Road,Public Works Department,Roads / PWD,Broken Footpath,LOW
i am reporting an issue that streetlight pole broken and light fixture hanging near model town,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"good morning sir, live electrical wire fallen on road near Civil Lines",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"please help me, fumigation and mosquito fogging required urgently in Civil Lines",Public Health Department,Public Health,Vector Disease Control,HIGH
traffic signal lights not working at major intersection near Karol Bagh,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am rahul shamram i am fine so the problem is that nuisance and stench from dirty public toilet near Rohini Sector 7 market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
drainage gutter overflow inundating street water in Dwarka Sector 10,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bus stop shelter shade damaged and rusted near Civil Lines,Municipal Transport Department,Transport,Bus Stop Damage,LOW
bhai listen entire stretch of road near Connaught Place is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
hello sir my name is rahul and traffic signal lights not working at major intersection near Lajpat Nagar,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
electricity transformer near Civil Lines is sparking violently and emitting smoke,Electricity Department,Electricity,Transformer Sparking,CRITICAL
traffic light kharab hai near Rohini Sector 7 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
huge pile of uncollected trash dumped openly near Sector 17,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"good morning sir, nali overflow kar rahi hai Rohini Sector 7 ke raste pe",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am reporting an issue that exposed live electrical wire hanging dangerously near school in Lajpat Nagar,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"fogging karwao area me, dengue phail raha hai",Public Health Department,Public Health,Vector Disease Control,HIGH
"please help me, community waste bin overflowing near Railway Station Road",Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
i am rahul shamram i am fine so the problem is that water has stopped coming in Model Town since last night,Water Department,Water Supply,No Water Supply,HIGH
road is completely broken with dangerous potholes everywhere,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am rahul shamram i am fine so the problem is that traffic signal lights not working at major intersection near Vasant Kunj,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bijli 6 ghante se nahi hai Railway Station Road me,Electricity Department,Electricity,Power Outage,HIGH
i am rahul shamram i am fine so the problem is that urgent fogging required near Connaught Place due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
hello sir my name is rahul and traffic light kharab hai near Dwarka Sector 10 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen water pipe leak ho gaya hai Connaught Place market ke paas,Water Department,Water Supply,Water Pipeline Leakage,HIGH
hello sir my name is rahul and sewage manhole overflow causing smell and filth on pavement near Model Town,Sanitation Department,Sanitation,Sewage Overflow,HIGH
kachra 4 din se nahi uthaya gaya hai Model Town se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
hello sir my name is rahul and frequent voltage fluctuations and power cuts in Sector 17 area,Electricity Department,Electricity,Power Outage,HIGH
street light 1 hafte se band hai Vasant Kunj me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
traffic light kharab hai near Sector 17 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
in our area sewage line overflowing near Karol Bagh creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am reporting an issue that streetlight pole broken and light fixture hanging near Railway Station Road,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
bhai listen entire stretch of road near dwarka sector 10 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"please help me, live electrical wire fallen on road near Railway Station Road",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
i am reporting an issue that stormwater drain is completely clogged with silt near Model Town,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
hello sir my name is rahul and sewage chamber overflowing on the walking pavement near Vasant Kunj,Sanitation Department,Sanitation,Sewage Overflow,HIGH
in our area exposed live electrical wire hanging dangerously near school in vasant kunj,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
streetlights turned off on main road near Sector 17 for 5 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
stormwater drain is completely clogged with silt near Lajpat Nagar,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
"please help me, bus stop shelter shade damaged and rusted near Civil Lines",Municipal Transport Department,Transport,Bus Stop Damage,LOW
i am rahul shamram i am fine so the problem is that street light 1 hafte se band hai Lajpat Nagar me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
drainage gutter overflow inundating street water in Civil Lines,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"hi assistant i am fine, urgent fogging required near Lajpat Nagar due to mosquito menace and dengue threat",Public Health Department,Public Health,Vector Disease Control,HIGH
there is a huge pothole on the main road,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen public toilet near Civil Lines is extremely filthy and not cleaned,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"hi assistant i am fine, garbage has not been collected from Railway Station Road for 5 days",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
the road condition near Dwarka Sector 10 is extremely bad and damaged,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
"good morning sir, bus stop shelter shade damaged and rusted near Civil Lines",Municipal Transport Department,Transport,Bus Stop Damage,LOW
"bhai listen sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
garbage has not been collected from Dwarka Sector 10 for 4 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
i am rahul shamram i am fine so the problem is that dengue phail raha hai please fogging lagwao area me,Public Health Department,Public Health,Vector Disease Control,HIGH
i am rahul shamram i am fine so the problem is that sewage line overflowing near Karol Bagh creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am reporting an issue that severe foul odor coming from unmaintained public restroom near Civil Lines,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
exposed live electrical wire hanging dangerously near school in Lajpat Nagar,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"hi assistant i am fine, street light 1 hafte se band hai Sector 17 me",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
hello sir my name is rahul and there is sewage overflowing from the chamber onto the walking path in railway station road,Sanitation Department,Sanitation,Sewage Overflow,HIGH
hello sir my name is rahul and traffic signal lights not working at major intersection near Karol Bagh,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, road construction work near Karol Bagh has been left incomplete for months",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
bhai listen water pipe leak ho gaya hai Rohini Sector 7 market ke paas,Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am reporting an issue that dengue phail raha hai please fogging lagwao area me,Public Health Department,Public Health,Vector Disease Control,HIGH
"paani ki supply bilkul band hai vasant kunj me, please help karo",Water Department,Water Supply,No Water Supply,HIGH
hello sir my name is rahul and huge pile of uncollected trash dumped openly near Civil Lines,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
hello sir my name is rahul and public toilet is closed and locked since 7 days near Model Town,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
hello sir my name is rahul and machhar bohot ho gaye hain stagnant water ke wajah se rohini sector 7 me,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
hello sir my name is rahul and road par pipeline phat gayi hai,Water Department,Water Supply,Water Pipeline Leakage,HIGH
open manhole on main road near Lajpat Nagar poses severe danger to pedestrians,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
bijli 6 ghante se nahi hai Civil Lines me,Electricity Department,Electricity,Power Outage,HIGH
"please help me, urgent fogging required near Vasant Kunj due to mosquito menace and dengue threat",Public Health Department,Public Health,Vector Disease Control,HIGH
in our area public toilet near Connaught Place is extremely filthy and not cleaned,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"hi assistant i am fine, urgent fogging required near Karol Bagh due to mosquito menace and dengue threat",Public Health Department,Public Health,Vector Disease Control,HIGH
i am reporting an issue that open manhole hai road pe near Dwarka Sector 10,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
paani ki pipe leak ho gayi hai sadak par,Water Department,Water Supply,Water Pipeline Leakage,HIGH
bhai listen water is coming out of a broken pipe on the road near Railway Station Road,Water Department,Water Supply,Water Pipeline Leakage,HIGH
huge pile of uncollected trash dumped openly near Vasant Kunj,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"please help me, dirty brown water is coming from the tap in Model Town",Water Department,Water Supply,Contaminated / Dirty Water,HIGH
entire stretch of road near Lajpat Nagar is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
stagnant water pool near Civil Lines becoming mosquito breeding ground,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
big pothole on main road causing accidents and damage to vehicles,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen streetlights turned off on main road near Rohini Sector 7 for 4 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
stagnant water pool near Connaught Place becoming mosquito breeding ground,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
traffic signal lights not working at major intersection near Connaught Place,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen huge pile of uncollected trash dumped openly near Sector 17,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"good morning sir, water is leaking from main underground pipeline onto the street",Water Department,Water Supply,Water Pipeline Leakage,HIGH
bhai listen entire stretch of road near dwarka sector 10 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
in our area bus stop shelter shade damaged and rusted near Vasant Kunj,Municipal Transport Department,Transport,Bus Stop Damage,LOW
paani sadak par beh raha hai pipe leak hone ki wajah se,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"good morning sir, entire stretch of road near Civil Lines is pitch dark at night",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
bhai listen sewage ka paani raste pe beh raha hai near Karol Bagh,Sanitation Department,Sanitation,Sewage Overflow,HIGH
in our area fumigation and mosquito fogging required urgently in Connaught Place,Public Health Department,Public Health,Vector Disease Control,HIGH
in our area street light 1 hafte se band hai Railway Station Road me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
hello sir my name is rahul and public toilet is closed and locked since 4 days near vasant kunj,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
severe waterlogging in Dwarka Sector 10 after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
water pressure is very low,Water Department,Water Supply,Low Water Pressure,MEDIUM
"good morning sir, dengue phail raha hai please fogging lagwao area me",Public Health Department,Public Health,Vector Disease Control,HIGH
"please help me, road is flooded because a water pipeline is leaking in dwarka sector 10",Water Department,Water Supply,Water Pipeline Leakage,HIGH
"good morning sir, huge pile of uncollected trash dumped openly near Connaught Place",Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
hello sir my name is rahul and sewage line overflowing near Sector 17 creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
in our area water pipe is leaking near Sector 17 and road is full of water,Water Department,Water Supply,Water Pipeline Leakage,HIGH
in our area streetlights turned off on main road near Vasant Kunj for 7 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"hi assistant i am fine, entire stretch of road near Vasant Kunj is pitch dark at night",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
i am reporting an issue that paani ki pipe leak ho gayi hai sadak par,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"hi assistant i am fine, nali overflow kar rahi hai Dwarka Sector 10 ke raste pe",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
traffic signal lights not working at major intersection near Model Town,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, power supply has been out in Railway Station Road for more than 3 hours",Electricity Department,Electricity,Power Outage,HIGH
stormwater drain is completely clogged with silt near Lajpat Nagar,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
there is water on road due to broken pipeline near Railway Station Road,Water Department,Water Supply,Water Pipeline Leakage,HIGH
in our area water has stopped coming in Sector 17 since last night,Water Department,Water Supply,No Water Supply,HIGH
"good morning sir, traffic light kharab hai near Sector 17 chowk",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
tap se ganda paani aa raha hai,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"please help me, frequent voltage fluctuations and power cuts in connaught place area",Electricity Department,Electricity,Power Outage,HIGH
"please help me, streetlight pole broken and light fixture hanging near Karol Bagh",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
bhai listen sewage line overflowing near Railway Station Road creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"please help me, pothole on road needs urgent repair before an accident happens",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
in our area stormwater drain is completely clogged with silt near Civil Lines,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
bhai listen garbage has not been collected from Rohini Sector 7 for 4 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"good morning sir, the main road has huge deep potholes near Vasant Kunj",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen stormwater drain is completely clogged with silt near Sector 17,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
"hi assistant i am fine, exposed live electrical wire hanging dangerously near school in Model Town",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
i am reporting an issue that no water supply in Lajpat Nagar for 5 days,Water Department,Water Supply,No Water Supply,HIGH
i am reporting an issue that traffic signal lights not working at major intersection near Model Town,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
hello sir my name is rahul and entire stretch of road near Dwarka Sector 10 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"good morning sir, pipe leakage near Karol Bagh wasting clean drinking water",Water Department,Water Supply,Water Pipeline Leakage,HIGH
"please help me, live electrical wire fallen on road near model town",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"hi assistant i am fine, street light 1 hafte se band hai Sector 17 me",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"dengue cases badh rahe hain, please fogging karwao Civil Lines me",Public Health Department,Public Health,Vector Disease Control,HIGH
"please help me, traffic signal lights not working at major intersection near Karol Bagh",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
nali overflow kar rahi hai railway station road ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"please help me, stormwater drain is completely clogged with silt near dwarka sector 10",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
bhai listen traffic signal lights not working at major intersection near Vasant Kunj,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
frequent voltage fluctuations and power cuts in Rohini Sector 7 area,Electricity Department,Electricity,Power Outage,HIGH
bhai listen fever cases increasing in Sector 17 suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
bhai listen live electrical wire fallen on road near Lajpat Nagar,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
i am reporting an issue that entire stretch of road near Vasant Kunj is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
electric pole near Civil Lines is leaning dangerously and about to fall,Electricity Department,Electricity,Damaged Electric Pole,HIGH
i am rahul shamram i am fine so the problem is that garbage has not been collected from Sector 17 for 2 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
in our area nuisance and stench from dirty public toilet near Civil Lines market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
i am rahul shamram i am fine so the problem is that bhai hamare area Railway Station Road me 4 din se paani nahi aa raha hai,Water Department,Water Supply,No Water Supply,HIGH
i am reporting an issue that transformer se spark nikal raha hai near Lajpat Nagar market,Electricity Department,Electricity,Transformer Sparking,CRITICAL
bhai listen sewage line overflowing near Sector 17 creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am rahul shamram i am fine so the problem is that drainage gutter overflow inundating street water in rohini sector 7,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bhai listen bimari phail rahi hai please health department ko bhejo Karol Bagh me,Public Health Department,Public Health,Disease Outbreak,HIGH
"good morning sir, traffic signal lights not working at major intersection near Rohini Sector 7",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am reporting an issue that bus stop shelter shade damaged and rusted near Railway Station Road,Municipal Transport Department,Transport,Bus Stop Damage,LOW
i am reporting an issue that entire stretch of road near Civil Lines is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
i am reporting an issue that pipeline leak hai aur paani road par jama ho raha hai,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"hi assistant i am fine, big pothole on main road causing accidents and damage to vehicles",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"good morning sir, sewage ka paani raste pe beh raha hai near Connaught Place",Sanitation Department,Sanitation,Sewage Overflow,HIGH
"sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am reporting an issue that streetlights turned off on main road near Model Town for 4 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
sewage manhole overflow causing smell and filth on pavement near Sector 17,Sanitation Department,Sanitation,Sewage Overflow,HIGH
bijli 6 ghante se nahi hai Sector 17 me,Electricity Department,Electricity,Power Outage,HIGH
bhai hamare area Karol Bagh me 5 din se paani nahi aa raha hai,Water Department,Water Supply,No Water Supply,HIGH
"good morning sir, kachra 4 din se nahi uthaya gaya hai Model Town se",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
in our area severe foul odor coming from unmaintained public restroom near Civil Lines,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
road is completely broken with dangerous potholes everywhere,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai listen street light 1 hafte se band hai model town me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
huge pile of uncollected trash dumped openly near Connaught Place,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
garbage has not been collected from Sector 17 for 4 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
kachra 4 din se nahi uthaya gaya hai Vasant Kunj se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
dirty brown water is coming from the tap in Model Town,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
i am rahul shamram i am fine so the problem is that bus stop shelter shade damaged and rusted near Vasant Kunj,Municipal Transport Department,Transport,Bus Stop Damage,LOW
fever cases increasing in Civil Lines suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
"good morning sir, street light 1 hafte se band hai Railway Station Road me",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
i am reporting an issue that public toilet is closed and locked since 3 days near Karol Bagh,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
in our area nali overflow kar rahi hai Connaught Place ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"please help me, electric pole near Rohini Sector 7 is leaning dangerously and about to fall",Electricity Department,Electricity,Damaged Electric Pole,HIGH
bhai listen entire stretch of road near Connaught Place is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"hi assistant i am fine, road is flooded because a water pipeline is leaking in Dwarka Sector 10",Water Department,Water Supply,Water Pipeline Leakage,HIGH
"i am reporting an issue that sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"bhai listen fogging karwao area me, dengue phail raha hai",Public Health Department,Public Health,Vector Disease Control,HIGH
water has stopped coming in civil lines since yesterday,Water Department,Water Supply,No Water Supply,HIGH
traffic signal lights not working at major intersection near Connaught Place,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am rahul shamram i am fine so the problem is that sewage chamber is overflowing and sewage spreading on street near Connaught Place,Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am rahul shamram i am fine so the problem is that kachra 4 din se nahi uthaya gaya hai Dwarka Sector 10 se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
i am rahul shamram i am fine so the problem is that frequent voltage fluctuations and power cuts in Connaught Place area,Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, stormwater drain is completely clogged with silt near Connaught Place",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
sewage line overflowing near Model Town creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"good morning sir, pothole on road needs urgent repair before an accident happens",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
in our area sewage chamber overflowing on the walking pavement near Lajpat Nagar,Sanitation Department,Sanitation,Sewage Overflow,HIGH
exposed live electrical wire hanging dangerously near school in Railway Station Road,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
severe waterlogging in Karol Bagh after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
i am rahul shamram i am fine so the problem is that nali overflow kar rahi hai Dwarka Sector 10 ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"dengue cases badh rahe hain, please fogging karwao dwarka sector 10 me",Public Health Department,Public Health,Vector Disease Control,HIGH
bus stop shelter shade damaged and rusted near dwarka sector 10,Municipal Transport Department,Transport,Bus Stop Damage,LOW
i am rahul shamram i am fine so the problem is that bijli 6 ghante se nahi hai Vasant Kunj me,Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, the main road has huge deep potholes near Railway Station Road",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
in our area nuisance and stench from dirty public toilet near Lajpat Nagar market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"bhai listen bhai Sector 17 ke paas rasta poora toota hua hai, pothole hain bohot",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
hello sir my name is rahul and severe waterlogging in Civil Lines after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
bhai listen bijli 6 ghante se nahi hai dwarka sector 10 me,Electricity Department,Electricity,Power Outage,HIGH
bhai listen bijli 6 ghante se nahi hai Lajpat Nagar me,Electricity Department,Electricity,Power Outage,HIGH
bhai listen open manhole hai road pe near Civil Lines,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
power supply has been out in Railway Station Road for more than 3 hours,Electricity Department,Electricity,Power Outage,HIGH
bhai listen open manhole hai road pe near Dwarka Sector 10,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
hello sir my name is rahul and stormwater drain is completely clogged with silt near Dwarka Sector 10,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
fever cases increasing in Vasant Kunj suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
nali overflow kar rahi hai karol bagh ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am rahul shamram i am fine so the problem is that streetlights turned off on main road near rohini sector 7 for 5 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
in our area severe waterlogging in Model Town after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
hello sir my name is rahul and sewage chamber is overflowing and sewage spreading on street near Vasant Kunj,Sanitation Department,Sanitation,Sewage Overflow,HIGH
garbage has not been collected from Connaught Place for 5 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
bhai listen nuisance and stench from dirty public toilet near Sector 17 market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
hello sir my name is rahul and traffic light kharab hai near Railway Station Road chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"dengue cases badh rahe hain, please fogging karwao Civil Lines me",Public Health Department,Public Health,Vector Disease Control,HIGH
"please help me, traffic signal lights not working at major intersection near Connaught Place",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
machhar bohot ho gaye hain stagnant water ke wajah se Vasant Kunj me,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
in our area community waste bin overflowing near Lajpat Nagar,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
