text,department,category,subcategory,priority
Public sanitation facility in Ring Road Junction lacks water and cleanliness.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"baarish ke baad kashmere gate me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
There is a major water shortage in our colony near Railway Station Road.,Water Department,Water Supply,No Water Supply,HIGH
stagnant water pool near railway station road becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
asphalt has caved in near preet vihar creating a dangerous road depression.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Pipeline burst near Kashmere Gate causing heavy water leakage on road.,Water Department,Water Supply,Water Meter Defect,LOW
Stagnant water pool near Civil Lines becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
URGENT MOSQUITO SPRAY DRIVE NEEDED IN KAROL BAGH DUE TO MALARIA OUTBREAK RISK.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
dark street near Rajouri Garden making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Damaged bus shelter bench near Janakpuri causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Fumigation and mosquito fogging required urgently in Civil Lines area.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
gutter blocked near gt road market area.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
ganda paani aa raha hai tap me ring road junction ke andar.,Water Department,Water Supply,No Water Supply,HIGH
"traffic light kharab hai near civil lines chowk, jam lag raha hai.",Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
no proper bus seating shed or display board at ring road junction stop.,Municipal Transport Department,Transport,Public Transport Facility,LOW
"fogging karwao lajpat nagar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
Dirty brown water is coming from the tap in Mayur Vihar Phase 1.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
Dirty brown water is coming from the tap in Rohini Sector 7.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
No drinking water available in Rajouri Garden for 2 consecutive days.,Water Department,Water Supply,No Water Supply,HIGH
Main junction near Karol Bagh has huge potholes damaging vehicles daily.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
KACHRA 4 DIN SE NAHI UTHAYA GAYA HAI RAILWAY STATION ROAD SE.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
"open manhole hai road pe near Rohini Sector 7, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Broken Footpath,LOW
"street light 1 hafte se band hai Railway Station Road me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Drainage gutter overflow inundating street water in Railway Station Road.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
live electrical wire raste pe gira hua hai near Ring Road Junction.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
stray dogs problem near Mayur Vihar Phase 1 primary school.,Public Health Department,Public Health,Vector Disease Control,HIGH
Buses parking illegally blocking lane near Dwarka Sector 10 terminal.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Power supply has been out in Karol Bagh for more than 10 hours.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Door-to-door sanitation truck hasn't visited Civil Lines this week.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Buses parking illegally blocking lane near Lajpat Nagar terminal.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Power supply has been out in GT Road for more than 2 hours.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
"WATER PIPELINE IS LEAKING HEAVILY NEAR PREET VIHAR, WASTING CLEAN WATER.",Water Department,Water Supply,Water Pipeline Leakage,HIGH
Traffic signal lights not working at major intersection near Karol Bagh.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Drainage gutter overflow inundating street water in Lajpat Nagar.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Huge pile of uncollected trash dumped openly near Kashmere Gate corner.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
urgent mosquito spray drive needed in rohini sector 7 due to malaria outbreak risk.,Public Health Department,Public Health,Vector Disease Control,HIGH
"voltage bohot low hai Connaught Place me, fan bhi nahi chal raha.",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
dirty brown water is coming from the tap in gt road.,Water Department,Water Supply,Low Water Pressure,MEDIUM
LIVE ELECTRICAL WIRE RASTE PE GIRA HUA HAI NEAR GT ROAD.,Electricity Department,Electricity,Power Outage,HIGH
gutter blocked near Connaught Place market area.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
dark street near Dwarka Sector 10 making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
no proper bus seating shed or display board at janakpuri stop.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Overflowing sewage chamber creating severe health hazard near Karol Bagh residential flats.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Public sanitation facility in Janakpuri lacks water and cleanliness.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
PUBLIC TOILET BAHUT GANDA HAI NEAR RING ROAD JUNCTION BUS STAND.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"fogging karwao Preet Vihar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"fogging karwao Preet Vihar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Vector Disease Control,HIGH
Power transformer overloaded and sparking near Sector 17 residential block.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
light pole toota hua hai near GT Road park.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
There is a major water shortage in our colony near Mayur Vihar Phase 1.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
GUTTER BLOCKED NEAR PITAMPURA MARKET AREA.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
power transformer overloaded and sparking near dwarka sector 10 residential block.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
bus stand ka shed toota hua hai near Karol Bagh.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
DIRTY BROWN WATER IS COMING FROM THE TAP IN CHANDNI CHOWK.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
DAMAGED BUS SHELTER BENCH NEAR GT ROAD CAUSING INCONVENIENCE TO ELDERLY COMMUTERS.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
stray dogs problem near vasant kunj primary school.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
NALI OVERFLOW KAR RAHI HAI SAKET BLOCK C KE RASTE PE.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"bhai Ring Road Junction ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Fumigation and mosquito fogging required urgently in Pitampura area.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
Rotting organic waste creating intense stench near Preet Vihar main market.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"baarish ke baad Vasant Kunj me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
MACHHAR BOHOT HO GAYE HAIN STAGNANT WATER KE WAJAH SE MAYUR VIHAR PHASE 1 ME.,Public Health Department,Public Health,Vector Disease Control,HIGH
door-to-door sanitation truck hasn't visited gt road this week.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
Bus stop shelter shade damaged and rusted near Connaught Place.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
traffic signal blinking red continuously at Model Town intersection.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Stray dogs aggressiveness causing safety fear near Preet Vihar park.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Overflowing sewage chamber creating severe health hazard near GT Road residential flats.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Power supply has been out in Saket Block C for more than 4 hours.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Complete blackout in Preet Vihar locality since Tuesday night.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Dirty brown water is coming from the tap in Vasant Kunj.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Our taps have been completely dry since this morning.,Water Department,Water Supply,No Water Supply,HIGH
dark street near Sector 17 making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Public toilet near Ring Road Junction is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Our taps have been completely dry since this morning.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
Stray dogs aggressiveness causing safety fear near Railway Station Road park.,Public Health Department,Public Health,Vector Disease Control,HIGH
Rotting organic waste creating intense stench near Pitampura main market.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Pest infestation and open unhygienic waste near Kashmere Gate food market.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
sanitation condition is very bad near Pitampura market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"Street lights remain turned on during daytime near Chandni Chowk, wasting electricity.",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bus stand ka shed toota hua hai near Connaught Place.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Traffic signal lights not working at major intersection near Preet Vihar.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
There has been no water supply in Pitampura for 3 days.,Water Department,Water Supply,No Water Supply,HIGH
ASPHALT HAS CAVED IN NEAR SECTOR 17 CREATING A DANGEROUS ROAD DEPRESSION.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
nali overflow kar rahi hai kashmere gate ke raste pe.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
there is a major water shortage in our colony near gt road.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
Streetlights turned off on main road near Kashmere Gate for 3 nights.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Huge pile of uncollected trash dumped openly near Kashmere Gate corner.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
"paani ki supply bilkul band hai Railway Station Road me, please help karo.",Water Department,Water Supply,Water Pipeline Leakage,HIGH
Water has stopped coming in Kashmere Gate since last night.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"bhai Chandni Chowk ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Broken Footpath,LOW
"Road ki condition bahut kharab hai Ring Road Junction me, accident ho rahe hain.",Public Works Department,Roads / PWD,Broken Footpath,LOW
transformer se spark nikal raha hai near GT Road market.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Public toilet near Lajpat Nagar is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Open manhole on main road near Mayur Vihar Phase 1 poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
sanitation condition is very bad near Mayur Vihar Phase 1 market area.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
main junction near karol bagh has huge potholes damaging vehicles daily.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
dark street near Chandni Chowk making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
water pipe leak ho gaya hai Saket Block C market ke paas.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
No proper bus seating shed or display board at Sector 17 stop.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
sewage line overflowing near preet vihar creating unsanitary conditions.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
community waste bin overflowing near ring road junction attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
bus stand ka shed toota hua hai near Dwarka Sector 10.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
"Water pressure is extremely low in Sector 17, cannot fill top tank.",Water Department,Water Supply,Water Meter Defect,LOW
Pest infestation and open unhygienic waste near Civil Lines food market.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Rotting organic waste creating intense stench near Rohini Sector 7 main market.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Stray dogs aggressiveness causing safety fear near GT Road park.,Public Health Department,Public Health,Vector Disease Control,HIGH
Water has stopped coming in Mayur Vihar Phase 1 since Tuesday.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
High voltage surge burnt electrical appliances in Rohini Sector 7.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Pest infestation and open unhygienic waste near Janakpuri food market.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Clogged stormwater channel causing 2 feet water accumulation in Kashmere Gate.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"voltage bohot low hai Preet Vihar me, fan bhi nahi chal raha.",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Fumigation and mosquito fogging required urgently in Railway Station Road area.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
"street light 1 hafte se band hai lajpat nagar me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Dirty brown water is coming from the tap in Preet Vihar.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Sewage and drain water entering houses in Pitampura locality.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Drainage gutter overflow inundating street water in Railway Station Road.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"paani ki supply bilkul band hai Pitampura me, please help karo.",Water Department,Water Supply,No Water Supply,HIGH
sewage ka paani raste pe beh raha hai near Karol Bagh.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
huge pile of uncollected trash dumped openly near janakpuri corner.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"fogging karwao Karol Bagh area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Vector Disease Control,HIGH
"open manhole hai road pe near Dwarka Sector 10, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
community waste bin overflowing near gt road attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
transformer se spark nikal raha hai near Ring Road Junction market.,Electricity Department,Electricity,Power Outage,HIGH
stagnant water pool near pitampura becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Severe foul odor coming from unmaintained public restroom near Kashmere Gate.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"Water pipeline is leaking heavily near Connaught Place, wasting clean water.",Water Department,Water Supply,Low Water Pressure,MEDIUM
"paani ki supply bilkul band hai Rajouri Garden me, please help karo.",Water Department,Water Supply,Water Pipeline Leakage,HIGH
NALI OVERFLOW KAR RAHI HAI JANAKPURI KE RASTE PE.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
machhar bohot ho gaye hain stagnant water ke wajah se GT Road me.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
nali overflow kar rahi hai Rohini Sector 7 ke raste pe.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
sanitation condition is very bad near Pitampura market area.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
overflowing sewage chamber creating severe health hazard near gt road residential flats.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"open manhole hai road pe near rohini sector 7, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Urgent mosquito spray drive needed in Lajpat Nagar due to malaria outbreak risk.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Clogged stormwater channel causing 2 feet water accumulation in Railway Station Road.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
streetlight pole broken and light fixture hanging near rajouri garden.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Unannounced power cuts every 2 hours in Model Town during peak summer.,Electricity Department,Electricity,Power Outage,HIGH
tar layer has worn off completely near karol bagh making riding difficult.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
ROTTING ORGANIC WASTE CREATING INTENSE STENCH NEAR PITAMPURA MAIN MARKET.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
"fogging karwao Rohini Sector 7 area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Complete blackout in Railway Station Road locality since Monday night.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
water pipe leak ho gaya hai Model Town market ke paas.,Water Department,Water Supply,No Water Supply,HIGH
light pole toota hua hai near mayur vihar phase 1 park.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Large deep potholes on main road near Janakpuri causing accidents.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"voltage bohot low hai civil lines me, fan bhi nahi chal raha.",Electricity Department,Electricity,Power Outage,HIGH
Overflowing sewage chamber creating severe health hazard near Sector 17 residential flats.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"baarish ke baad Pitampura me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
kachra 4 din se nahi uthaya gaya hai Ring Road Junction se.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Urgent mosquito spray drive needed in Preet Vihar due to malaria outbreak risk.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Public sanitation facility in Janakpuri lacks water and cleanliness.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"bhai kashmere gate ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Sewage and drain water entering houses in Connaught Place locality.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
Frequent voltage fluctuations and power cuts in Janakpuri area.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
traffic signal blinking red continuously at rohini sector 7 intersection.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
kachra 4 din se nahi uthaya gaya hai Sector 17 se.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Unannounced power cuts every 2 hours in Ring Road Junction during peak summer.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
water pipe leak ho gaya hai vasant kunj market ke paas.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
traffic signal blinking red continuously at Pitampura intersection.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
"baarish ke baad Dwarka Sector 10 me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
sanitation condition is very bad near Railway Station Road market area.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
sewage ka paani raste pe beh raha hai near Saket Block C.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
severe foul odor coming from unmaintained public restroom near chandni chowk.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
nali overflow kar rahi hai Rajouri Garden ke raste pe.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
stormwater drain is completely clogged with silt near janakpuri.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
ROTTING ORGANIC WASTE CREATING INTENSE STENCH NEAR CONNAUGHT PLACE MAIN MARKET.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Buses parking illegally blocking lane near Rohini Sector 7 terminal.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Severe waterlogging in Railway Station Road after light rain due to choked drains.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
power transformer overloaded and sparking near chandni chowk residential block.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Clogged stormwater channel causing 2 feet water accumulation in Saket Block C.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Public sanitation facility in Sector 17 lacks water and cleanliness.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"bhai Pitampura ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Broken Footpath,LOW
Water comes for only 10 minutes in the morning with very poor pressure at Civil Lines.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"bhai Vasant Kunj ke paas rasta poora toota hua hai, pothole hain bohot.",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
Exposed live electrical wire hanging dangerously near school entrance in Vasant Kunj.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
public toilet near karol bagh is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Sewage line overflowing near Railway Station Road creating unsanitary conditions.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Door-to-door sanitation truck hasn't visited Rohini Sector 7 this week.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
dark street near Rohini Sector 7 making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Streetlights turned off on main road near Chandni Chowk for 5 nights.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
nali overflow kar rahi hai Railway Station Road ke raste pe.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
entire stretch of road near rohini sector 7 is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
tar layer has worn off completely near connaught place making riding difficult.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
"baarish ke baad Preet Vihar me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
Entire stretch of road near Model Town is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Exposed live electrical wire hanging dangerously near school entrance in Janakpuri.,Electricity Department,Electricity,Power Outage,HIGH
PEST INFESTATION AND OPEN UNHYGIENIC WASTE NEAR RING ROAD JUNCTION FOOD MARKET.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
Rotting organic waste creating intense stench near Rajouri Garden main market.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Footpath is broken and paved tiles are missing near Civil Lines.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
No proper bus seating shed or display board at Vasant Kunj stop.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
"paani ki supply bilkul band hai Railway Station Road me, please help karo.",Water Department,Water Supply,Low Water Pressure,MEDIUM
Sewage line overflowing near Civil Lines creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Damaged bus shelter bench near Karol Bagh causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
sanitation condition is very bad near Mayur Vihar Phase 1 market area.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"water pipeline is leaking heavily near ring road junction, wasting clean water.",Water Department,Water Supply,Water Meter Defect,LOW
garbage dump ho raha hai open space me near Dwarka Sector 10.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
light pole toota hua hai near Model Town park.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
stray dogs problem near Ring Road Junction primary school.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
sewage ka paani raste pe beh raha hai near dwarka sector 10.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Electric pole near Lajpat Nagar is leaning dangerously and about to fall.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Severe waterlogging in Lajpat Nagar after light rain due to choked drains.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Water comes for only 10 minutes in the morning with very poor pressure at Kashmere Gate.,Water Department,Water Supply,No Water Supply,HIGH
Public sanitation facility in Dwarka Sector 10 lacks water and cleanliness.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Power transformer overloaded and sparking near Preet Vihar residential block.,Electricity Department,Electricity,Power Outage,HIGH
There is a major water shortage in our colony near Saket Block C.,Water Department,Water Supply,No Water Supply,HIGH
Fumigation and mosquito fogging required urgently in Civil Lines area.,Public Health Department,Public Health,Vector Disease Control,HIGH
Urgent mosquito spray drive needed in Rajouri Garden due to malaria outbreak risk.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
public sanitation facility in model town lacks water and cleanliness.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
machhar bohot ho gaye hain stagnant water ke wajah se Civil Lines me.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Open manhole on main road near Pitampura poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
"fogging karwao Lajpat Nagar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
kachra 4 din se nahi uthaya gaya hai Karol Bagh se.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Sewage and drain water entering houses in Civil Lines locality.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
dirty brown water is coming from the tap in rohini sector 7.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
rotting organic waste creating intense stench near vasant kunj main market.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
large deep potholes on main road near connaught place causing accidents.,Public Works Department,Roads / PWD,Broken Footpath,LOW
There is a major water shortage in our colony near Lajpat Nagar.,Water Department,Water Supply,Water Meter Defect,LOW
Garbage has not been collected from Lajpat Nagar for 4 days.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Buses parking illegally blocking lane near Chandni Chowk terminal.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Garbage has not been collected from Dwarka Sector 10 for 3 days.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
Large deep potholes on main road near Mayur Vihar Phase 1 causing accidents.,Public Works Department,Roads / PWD,Broken Footpath,LOW
gutter blocked near Vasant Kunj market area.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Stray dogs aggressiveness causing safety fear near GT Road park.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Garbage has not been collected from Kashmere Gate for 2 days.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
"water pipeline is leaking heavily near dwarka sector 10, wasting clean water.",Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"voltage bohot low hai Rohini Sector 7 me, fan bhi nahi chal raha.",Electricity Department,Electricity,Damaged Electric Pole,HIGH
Stagnant water pool near Pitampura becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Vector Disease Control,HIGH
"traffic light kharab hai near mayur vihar phase 1 chowk, jam lag raha hai.",Municipal Transport Department,Transport,Public Transport Facility,LOW
Sewage and drain water entering houses in Connaught Place locality.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Traffic signal lights not working at major intersection near Connaught Place.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Pest infestation and open unhygienic waste near Lajpat Nagar food market.,Public Health Department,Public Health,Vector Disease Control,HIGH
"fogging karwao Civil Lines area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
non-functional street lamps along main highway stretch near ring road junction.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
"traffic light kharab hai near Rajouri Garden chowk, jam lag raha hai.",Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
sewage line overflowing near dwarka sector 10 creating unsanitary conditions.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
